"filename", "language", "JavaScript", "Less", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateBucketSteps.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 2, 9, 105
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep1.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 2, 7, 84
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\provider\CreateBucketProvider.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 1, 3, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\components\AuthRadio.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 4, 29
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\components\SearchBucket.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 3, 13, 80
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\index.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 3, 6, 38
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\components\NestedCard\NestedCard.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 7, 4, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\components\NestedCard\NestedCard.less", "Less", 0, 20, 0, 0, 0, 0, 3, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\components\curve.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 1, 1, 150
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\components\pie.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 1, 119
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\index.jsx", "JavaScript JSX", 0, 0, 92, 0, 0, 0, 1, 93
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\index.less", "Less", 0, 163, 0, 0, 0, 0, 1, 164
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\columnChart\index.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 1, 131
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\columnChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\lineChart\index.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 1, 115
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\lineChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\nestedChart\index.jsx", "JavaScript JSX", 0, 0, 88, 0, 0, 0, 1, 89
