"filename", "language", "JavaScript JSX", "XML", "Less", "JavaScript", "JSON", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\assets\icons\xianxingxiarilengyin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\assets\icons\xianxingyoulun.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\assets\icons\xianxingzijiayou.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\assets\images\favicon.svg", "XML", 0, 15, 0, 0, 0, 0, 1, 16
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\assets\images\login_bg.svg", "XML", 0, 22, 0, 0, 0, 4, 7, 33
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\ErrorMessage\403.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 1, 15
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\ErrorMessage\404.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 1, 15
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\ErrorMessage\500.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 1, 15
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\ErrorMessage\index.less", "Less", 0, 0, 10, 0, 0, 0, 1, 11
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\Loading\index.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 1, 7
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\Loading\index.less", "Less", 0, 0, 23, 0, 0, 2, 2, 27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\SwitchDark\index.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 1, 14
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\components\svgIcon\index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 1, 8
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\config\config.js", "JavaScript", 0, 0, 0, 3, 0, 4, 1, 8
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\config\nprogress.js", "JavaScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\config\serviceLoading.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 2, 1, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\enums\httpEnum.js", "JavaScript", 0, 0, 0, 24, 0, 14, 1, 39
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\hooks\useAuthButtons.js", "JavaScript", 0, 0, 0, 12, 0, 3, 1, 16
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\hooks\useEcharts.js", "JavaScript", 0, 0, 0, 26, 0, 6, 1, 33
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\hooks\useTable.js", "JavaScript", 0, 0, 0, 2, 0, 0, 1, 3
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\hooks\useTheme.js", "JavaScript", 0, 0, 0, 31, 0, 6, 1, 38
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\hooks\useTime.js", "JavaScript", 0, 0, 0, 17, 0, 3, 1, 21
